vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations
35,0.25,227,19,0.02601790428161621,19
35,0.5,258,22,0.0701301097869873,22
35,0.75,97,22,0.09051680564880371,22
36,0.125,367,19,0.014655351638793945,19
36,0.25,262,22,0.028466463088989258,22
36,0.5,227,24,0.05763101577758789,24
36,0.75,164,23,0.10697293281555176,23
37,0.125,392,21,0.018285512924194336,21
37,0.25,337,23,0.04328584671020508,23
37,0.5,263,24,0.06648731231689453,24
37,0.75,170,24,0.12598323822021484,24
38,0.125,287,20,0.013840675354003906,20
38,0.25,258,22,0.039459228515625,22
38,0.5,213,24,0.07344365119934082,24
38,0.75,141,25,0.12834429740905762,25
39,0.125,297,21,0.018584012985229492,21
39,0.25,315,23,0.043829917907714844,23
39,0.5,241,25,0.10393762588500977,25
39,0.75,145,24,0.08614444732666016,24
40,0.125,418,21,0.01752471923828125,21
40,0.25,296,26,0.05918431282043457,26
40,0.5,323,25,0.1291944980621338,25
40,0.75,84,22,0.08358478546142578,22
41,0.125,644,23,0.029026031494140625,23
41,0.25,380,25,0.05128073692321777,25
41,0.5,257,25,0.0815281867980957,25
41,0.75,125,27,0.15118813514709473,27
42,0.125,381,23,0.02684473991394043,23
42,0.25,412,29,0.0594477653503418,29
42,0.5,190,25,0.10353541374206543,25
42,0.75,106,25,0.11414575576782227,25
43,0.125,644,23,0.02972126007080078,23
43,0.25,333,28,0.07610130310058594,28
43,0.5,270,27,0.14861202239990234,27
43,0.75,185,27,0.14516258239746094,27
44,0.125,679,26,0.03702664375305176,26
44,0.25,249,26,0.056388139724731445,26
44,0.5,276,27,0.1100161075592041,27
44,0.75,150,29,0.18563294410705566,29
45,0.125,397,26,0.03200864791870117,26
45,0.25,407,29,0.0518183708190918,29
45,0.5,205,29,0.10474848747253418,29
45,0.75,118,28,0.11935019493103027,28
46,0.125,712,25,0.034172773361206055,25
46,0.25,367,29,0.06801819801330566,29
46,0.5,167,32,0.18267321586608887,32
46,0.75,172,28,0.15709733963012695,28
47,0.125,457,29,0.03093409538269043,29
47,0.25,344,30,0.07196640968322754,30
47,0.5,165,28,0.14429688453674316,28
47,0.75,184,31,0.2591109275817871,31
48,0.125,652,29,0.02480316162109375,29
48,0.25,332,29,0.05966758728027344,29
48,0.5,182,31,0.14439177513122559,31
48,0.75,169,29,0.21204328536987305,29
49,0.125,968,32,0.061626434326171875,32
49,0.25,276,28,0.07825422286987305,28
49,0.5,279,32,0.15913748741149902,32
49,0.75,222,34,0.3036487102508545,34
50,0.125,766,33,0.054506778717041016,33
50,0.25,656,34,0.1164255142211914,34
50,0.5,208,31,0.1293501853942871,31
50,0.75,147,31,0.18697595596313477,31
51,0.125,451,30,0.03667616844177246,30
51,0.25,279,29,0.06305360794067383,29
51,0.5,197,36,0.20351862907409668,36
51,0.75,255,35,0.3379859924316406,35
52,0.125,422,30,0.04921531677246094,30
52,0.25,345,30,0.09552788734436035,30
52,0.5,241,33,0.1902000904083252,33
52,0.75,119,31,0.18332481384277344,31
53,0.125,564,29,0.04474449157714844,29
53,0.25,263,31,0.08103466033935547,31
53,0.5,192,35,0.1561415195465088,35
53,0.75,178,34,0.1935715675354004,34
54,0.125,647,34,0.03975796699523926,34
54,0.25,275,30,0.09607386589050293,30
54,0.5,247,33,0.2270207405090332,33
54,0.75,218,35,0.359724760055542,35
55,0.125,610,36,0.06705141067504883,36
55,0.25,384,33,0.13617587089538574,33
55,0.5,294,39,0.3072795867919922,39
55,0.75,170,36,0.29467296600341797,36
56,0.125,406,31,0.04459977149963379,31
56,0.25,431,37,0.11000370979309082,37
56,0.5,205,36,0.20546817779541016,36
56,0.75,246,38,0.47731685638427734,38
57,0.125,605,32,0.05272984504699707,32
57,0.25,397,34,0.13410162925720215,34
57,0.5,232,35,0.2547178268432617,35
57,0.75,247,38,0.3329896926879883,38
58,0.125,707,35,0.06864285469055176,35
58,0.25,357,39,0.13020610809326172,39
58,0.5,162,35,0.15881896018981934,35
58,0.75,177,39,0.3324868679046631,39
59,0.125,490,33,0.06790328025817871,33
59,0.25,423,37,0.13866639137268066,37
59,0.5,305,43,0.27983546257019043,43
59,0.75,333,38,0.5162785053253174,38
60,0.125,701,36,0.09808897972106934,36
60,0.25,298,35,0.10271978378295898,35
60,0.5,181,37,0.15217256546020508,37
60,0.75,161,39,0.44949769973754883,39
61,0.125,417,34,0.06760740280151367,34
61,0.25,428,42,0.13484811782836914,42
61,0.5,228,37,0.33461642265319824,37
61,0.75,213,40,0.5268876552581787,40
62,0.125,494,37,0.06910109519958496,37
62,0.25,568,41,0.21121668815612793,41
62,0.5,355,40,0.532233715057373,40
62,0.75,151,38,0.366788387298584,38
63,0.125,728,37,0.08197355270385742,37
63,0.25,268,40,0.20140337944030762,40
63,0.5,177,37,0.22788310050964355,37
63,0.75,181,38,0.3690462112426758,38
64,0.125,668,37,0.07854914665222168,37
64,0.25,280,41,0.14537858963012695,41
64,0.5,304,42,0.43317508697509766,42
64,0.75,225,43,0.3732473850250244,43
65,0.125,518,39,0.08354067802429199,39
65,0.25,383,40,0.19668984413146973,40
65,0.5,263,42,0.4031391143798828,42
65,0.75,164,42,0.7323741912841797,42
66,0.125,921,41,0.12447428703308105,41
66,0.25,366,40,0.1892385482788086,40
66,0.5,302,41,0.4673149585723877,41
66,0.75,315,42,0.9060981273651123,42
67,0.125,873,43,0.12222552299499512,43
67,0.25,260,42,0.1803417205810547,42
67,0.5,264,42,0.49445080757141113,42
67,0.75,169,45,0.6791074275970459,45
68,0.125,682,42,0.08403635025024414,42
68,0.25,260,41,0.23877859115600586,41
68,0.5,260,46,0.5881083011627197,46
68,0.75,170,46,0.4550330638885498,46
69,0.125,684,43,0.10616517066955566,43
69,0.25,395,46,0.22245121002197266,46
69,0.5,219,46,0.29120469093322754,46
69,0.75,141,44,0.6216380596160889,44
70,0.125,546,41,0.09732842445373535,41
