vertices_num,percentage_max_num_edges,exhaustive_total_weight,greedy_total_weight,weight_difference,exhaustive_execution_time,greedy_execution_time,time_ratio,exhaustive_num_operations,greedy_num_operations,exhaustive_configurations,greedy_configurations
4,0.125,66,66,0,0.0023298263549804688,0.0007627010345458984,0.32736389684813755,5,3,1,1
4,0.25,52,52,0,0.0010149478912353516,0.0011792182922363281,1.161851068827813,15,6,3,2
4,0.5,87,168,-81,0.0015063285827636719,0.0012903213500976562,0.8566001899335233,42,10,7,2
4,0.75,69,90,-21,0.0037903785705566406,0.001438140869140625,0.3794187948169581,265,15,31,2
5,0.125,150,150,0,0.0011050701141357422,0.001201629638671875,1.087378640776699,15,6,3,2
5,0.25,168,168,0,0.001459360122680664,0.0012526512145996094,0.8583564776997222,37,8,7,2
5,0.5,25,95,-70,0.00400996208190918,0.0013432502746582031,0.3349782983530531,255,14,31,4
5,0.75,15,15,0,0.03188443183898926,0.001628875732421875,0.05108686711582033,3227,21,255,3
6,0.125,78,78,0,0.0009138584136962891,0.0010182857513427734,1.1142708061570572,15,6,3,2
6,0.25,53,53,0,0.0018343925476074219,0.0013206005096435547,0.7199116194437224,80,12,15,3
6,0.5,41,41,0,0.032143592834472656,0.0013380050659179688,0.04162587153241359,3059,20,255,2
6,0.75,46,46,0,0.7468726634979248,0.0016224384307861328,0.0021723092972603364,76130,29,4095,5
7,0.125,129,129,0,0.0013191699981689453,0.001379251480102539,1.0455449123441172,33,9,7,3
7,0.25,69,69,0,0.006342172622680664,0.0011801719665527344,0.18608322995376114,501,14,63,3
7,0.5,155,207,-52,0.3320448398590088,0.002259492874145508,0.006804782375491582,32699,37,2047,7
7,0.75,24,32,-8,16.367146253585815,0.0023276805877685547,0.00014221664251693188,1604395,52,65535,4
8,0.125,286,286,0,0.0017092227935791016,0.0015265941619873047,0.8931510670944344,67,12,15,4
8,0.25,77,108,-31,0.012032508850097656,0.0018208026885986328,0.15132361100103037,1074,25,127,4
8,0.5,67,67,0,3.499737024307251,0.0020678043365478516,0.0005908456327392654,342479,40,16383,4
8,0.75,56,64,-8,702.5560970306396,0.0028505325317382812,4.057373558903104e-06,67297824,63,2097151,5
