vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.0002925395965576172,103,100,0.125,0.25,0.125
4,52,2,0.0004677772521972656,212,200,0.125,0.25,0.25
4,87,1,0.0006382465362548828,321,300,0.125,0.25,0.5
4,69,1,0.0010676383972167969,538,500,0.125,0.25,0.75
5,150,2,0.00044727325439453125,212,200,0.125,0.25,0.125
5,171,2,0.000598907470703125,317,300,0.125,0.25,0.25
5,25,1,0.0010638236999511719,535,500,0.125,0.25,0.5
5,57,2,0.0016815662384033203,863,800,0.125,0.25,0.75
6,78,2,0.00047469139099121094,212,200,0.125,0.25,0.125
6,53,3,0.0008113384246826172,425,400,0.125,0.25,0.25
6,271,5,0.0016322135925292969,856,800,0.125,0.25,0.5
6,99,2,0.002705812454223633,1288,1200,0.125,0.25,0.75
7,129,3,0.000759124755859375,329,300,0.125,0.25,0.125
7,274,4,0.0012230873107910156,638,600,0.125,0.25,0.25
7,260,4,0.002284526824951172,1243,1100,0.125,0.25,0.5
7,123,5,0.0033223628997802734,1715,1600,0.125,0.25,0.75
8,286,4,0.0010504722595214844,462,400,0.125,0.25,0.125
8,232,5,0.001421213150024414,748,700,0.125,0.25,0.25
8,151,3,0.002836465835571289,1507,1400,0.125,0.25,0.5
8,160,5,0.00439143180847168,2410,2100,0.125,0.25,0.75
9,151,4,0.001107931137084961,575,500,0.125,0.25,0.125
9,134,3,0.001882791519165039,1004,900,0.125,0.25,0.25
9,152,3,0.003682374954223633,1896,1800,0.125,0.25,0.5
9,299,7,0.0055811405181884766,2916,2700,0.125,0.25,0.75
10,227,5,0.001363992691040039,710,600,0.125,0.25,0.125
10,217,4,0.0025167465209960938,1326,1200,0.125,0.25,0.25
10,100,5,0.00471806526184082,2516,2300,0.125,0.25,0.5
10,249,4,0.007166624069213867,3689,3400,0.125,0.25,0.75
11,248,6,0.0014829635620117188,773,700,0.125,0.25,0.125
11,482,6,0.002892732620239258,1522,1400,0.125,0.25,0.25
11,520,9,0.005792140960693359,3132,2800,0.125,0.25,0.5
11,465,11,0.008775472640991211,4700,4200,0.125,0.25,0.75
12,347,8,0.0019800662994384766,1044,900,0.125,0.25,0.125
12,574,11,0.0036847591400146484,1931,1700,0.125,0.25,0.25
12,212,6,0.006854057312011719,3502,3300,0.125,0.25,0.5
12,724,12,0.010432720184326172,5427,5000,0.125,0.25,0.75
