vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.00031566619873046875,103,100,0.5,0.75,0.125
4,52,2,0.0004494190216064453,212,200,0.5,0.75,0.25
4,87,1,0.0006213188171386719,321,300,0.5,0.75,0.5
4,69,1,0.0010342597961425781,555,500,0.5,0.75,0.75
5,150,2,0.0004639625549316406,212,200,0.5,0.75,0.125
5,168,2,0.0006232261657714844,323,300,0.5,0.75,0.25
5,25,1,0.0010335445404052734,544,500,0.5,0.75,0.5
5,61,2,0.0017046928405761719,897,800,0.5,0.75,0.75
6,78,2,0.00044608116149902344,212,200,0.5,0.75,0.125
6,83,3,0.0008349418640136719,444,400,0.5,0.75,0.25
6,91,2,0.001689910888671875,875,800,0.5,0.75,0.5
6,49,3,0.0024862289428710938,1349,1200,0.5,0.75,0.75
7,129,3,0.0007007122039794922,329,300,0.5,0.75,0.125
7,181,3,0.0012331008911132812,647,600,0.5,0.75,0.25
7,265,4,0.0023038387298583984,1215,1100,0.5,0.75,0.5
7,153,4,0.003325939178466797,1732,1600,0.5,0.75,0.75
8,286,4,0.0010459423065185547,462,400,0.5,0.75,0.125
8,138,4,0.0014028549194335938,743,700,0.5,0.75,0.25
8,124,2,0.0031499862670898438,1542,1400,0.5,0.75,0.5
8,269,4,0.004538774490356445,2446,2100,0.5,0.75,0.75
9,151,4,0.0010437965393066406,563,500,0.5,0.75,0.125
9,332,7,0.0018551349639892578,973,900,0.5,0.75,0.25
9,254,5,0.0037086009979248047,1931,1800,0.5,0.75,0.5
9,405,9,0.005476951599121094,2990,2700,0.5,0.75,0.75
10,156,5,0.0012919902801513672,721,600,0.5,0.75,0.125
10,259,6,0.0024404525756835938,1315,1200,0.5,0.75,0.25
10,172,6,0.004573822021484375,2547,2300,0.5,0.75,0.5
10,370,9,0.007091999053955078,3784,3400,0.5,0.75,0.75
11,199,5,0.0014853477478027344,808,700,0.5,0.75,0.125
11,795,11,0.0028896331787109375,1621,1400,0.5,0.75,0.25
11,624,9,0.005597829818725586,3139,2800,0.5,0.75,0.5
11,226,7,0.00930166244506836,4693,4200,0.5,0.75,0.75
12,360,6,0.0018956661224365234,1000,900,0.5,0.75,0.125
12,437,7,0.004395484924316406,2017,1700,0.5,0.75,0.25
