vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,percentage_max_num_edges
24,1128,26,0.044286489486694336,25913,20700,0.25,0.5,0.75
25,1293,22,0.007955551147460938,4344,3800,0.25,0.5,0.125
25,987,19,0.015739917755126953,8718,7500,0.25,0.5,0.25
25,1152,22,0.030766010284423828,17060,15000,0.25,0.5,0.5
25,1258,26,0.0475766658782959,27392,22500,0.25,0.5,0.75
26,1005,20,0.008445024490356445,4684,4100,0.25,0.5,0.125
26,1000,17,0.016620397567749023,9186,8200,0.25,0.5,0.25
26,958,20,0.03360939025878906,18730,16300,0.25,0.5,0.5
26,1262,25,0.0516514778137207,30064,24400,0.25,0.5,0.75
27,1000,18,0.009026050567626953,4833,4400,0.25,0.5,0.125
27,916,18,0.017787933349609375,9504,8800,0.25,0.5,0.25
27,1352,26,0.03580451011657715,20039,17600,0.25,0.5,0.5
27,1331,24,0.05749630928039551,31725,26400,0.25,0.5,0.75
28,813,19,0.009781122207641602,5461,4800,0.25,0.5,0.125
28,1254,26,0.019417524337768555,11025,9500,0.25,0.5,0.25
28,1238,25,0.03852081298828125,21633,18900,0.25,0.5,0.5
28,1261,29,0.06162118911743164,34805,28400,0.25,0.5,0.75
29,1533,24,0.010421514511108398,5722,5100,0.25,0.5,0.125
29,1455,28,0.020752429962158203,11431,10200,0.25,0.5,0.25
29,1437,32,0.042574405670166016,24065,20300,0.25,0.5,0.5
29,1167,34,0.06592750549316406,36430,30500,0.25,0.5,0.75
30,1395,34,0.012295722961425781,7054,5500,0.25,0.5,0.125
30,1386,32,0.021986961364746094,12127,10900,0.25,0.5,0.25
30,1520,31,0.046506404876708984,26363,21800,0.25,0.5,0.5
30,1672,33,0.0726165771484375,41374,32700,0.25,0.5,0.75
