vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
24,0.75,799,20,0.21283984184265137,159892,10000,0.25,0.5
25,0.125,459,9,0.12610912322998047,58409,10000,0.25,0.5
25,0.25,642,14,0.17644834518432617,113738,10000,0.25,0.5
25,0.5,835,18,0.21150803565979004,150231,10000,0.25,0.5
25,0.75,763,24,0.3282432556152344,291085,10000,0.25,0.5
26,0.125,510,13,0.15543770790100098,85325,10000,0.25,0.5
26,0.25,581,16,0.20170307159423828,141452,10000,0.25,0.5
26,0.5,722,18,0.2537069320678711,179880,10000,0.25,0.5
26,0.75,885,19,0.3364839553833008,270084,10000,0.25,0.5
27,0.125,387,15,0.12921142578125,56165,10000,0.25,0.5
27,0.25,737,16,0.20715045928955078,136148,10000,0.25,0.5
27,0.5,502,16,0.24541354179382324,193404,10000,0.25,0.5
27,0.75,826,20,0.2571876049041748,190683,10000,0.25,0.5
28,0.125,505,15,0.15661334991455078,84046,10000,0.25,0.5
28,0.25,860,16,0.18592119216918945,121584,10000,0.25,0.5
28,0.5,908,22,0.25991153717041016,202246,10000,0.25,0.5
28,0.75,964,26,0.3295762538909912,260997,10000,0.25,0.5
29,0.125,862,15,0.15712714195251465,84173,10000,0.25,0.5
29,0.25,1015,18,0.22028803825378418,146091,10000,0.25,0.5
29,0.5,935,25,0.24345660209655762,172039,10000,0.25,0.5
29,0.75,789,19,0.3056650161743164,224640,10000,0.25,0.5
30,0.125,683,16,0.14715886116027832,73318,10000,0.25,0.5
30,0.25,738,14,0.20163297653198242,126997,10000,0.25,0.5
30,0.5,945,19,0.26631999015808105,192572,10000,0.25,0.5
30,0.75,813,23,0.2976827621459961,224026,10000,0.25,0.5
