vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
24,0.75,846,23,0.188676118850708,126309,10000,0.125,0.25
25,0.125,657,13,0.10677528381347656,36517,10000,0.125,0.25
25,0.25,698,15,0.1808021068572998,117488,10000,0.125,0.25
25,0.5,866,19,0.19141888618469238,126615,10000,0.125,0.25
25,0.75,589,19,0.20606207847595215,149899,10000,0.125,0.25
26,0.125,616,16,0.12590956687927246,57309,10000,0.125,0.25
26,0.25,459,11,0.15580368041992188,92455,10000,0.125,0.25
26,0.5,613,19,0.1821610927581787,108517,10000,0.125,0.25
26,0.75,935,18,0.17985916137695312,123583,10000,0.125,0.25
27,0.125,590,17,0.111175537109375,38977,10000,0.125,0.25
27,0.25,698,16,0.15761804580688477,81687,10000,0.125,0.25
27,0.5,820,19,0.17924118041992188,119494,10000,0.125,0.25
27,0.75,811,19,0.2241990566253662,153361,10000,0.125,0.25
28,0.125,533,17,0.12002849578857422,47208,10000,0.125,0.25
28,0.25,800,17,0.18301653861999512,119507,10000,0.125,0.25
28,0.5,984,20,0.23444795608520508,173092,10000,0.125,0.25
28,0.75,915,23,0.2154374122619629,149364,10000,0.125,0.25
29,0.125,907,16,0.1423637866973877,70543,10000,0.125,0.25
29,0.25,867,18,0.14380407333374023,68618,10000,0.125,0.25
29,0.5,775,20,0.20952296257019043,139178,10000,0.125,0.25
29,0.75,1046,23,0.18198585510253906,105720,10000,0.125,0.25
30,0.125,674,18,0.13847994804382324,66504,10000,0.125,0.25
30,0.25,738,18,0.15518832206726074,80468,10000,0.125,0.25
30,0.5,983,26,0.1997087001800537,126170,10000,0.125,0.25
30,0.75,995,21,0.24552273750305176,174020,10000,0.125,0.25
4,0.125,66,1,0.015233993530273438,2,10000,0.5,0.75
4,0.25,52,2,0.018297433853149414,4,10000,0.5,0.75
4,0.5,168,2,0.01812267303466797,15,10000,0.5,0.75
4,0.75,90,2,0.019399642944335938,70,10000,0.5,0.75
5,0.125,150,2,0.01835942268371582,4,10000,0.5,0.75
5,0.25,168,2,0.017706632614135742,14,10000,0.5,0.75
5,0.5,50,2,0.019131183624267578,67,10000,0.5,0.75
5,0.75,15,2,0.020179271697998047,252,10000,0.5,0.75
6,0.125,78,2,0.017878293991088867,4,10000,0.5,0.75
6,0.25,74,2,0.01784515380859375,29,10000,0.5,0.75
6,0.5,41,2,0.020392179489135742,199,10000,0.5,0.75
6,0.75,46,2,0.024504423141479492,643,10000,0.5,0.75
7,0.125,129,3,0.020769357681274414,15,10000,0.5,0.75
7,0.25,69,2,0.01925182342529297,89,10000,0.5,0.75
7,0.5,163,3,0.025233745574951172,675,10000,0.5,0.75
7,0.75,55,3,0.032555580139160156,1225,10000,0.5,0.75
8,0.125,286,4,0.0219266414642334,54,10000,0.5,0.75
8,0.25,77,2,0.019729137420654297,116,10000,0.5,0.75
8,0.5,124,2,0.027292728424072266,707,10000,0.5,0.75
8,0.75,56,3,0.044317007064819336,4146,10000,0.5,0.75
9,0.125,156,4,0.02067875862121582,117,10000,0.5,0.75
9,0.25,70,3,0.03770780563354492,4605,10000,0.5,0.75
9,0.5,138,3,0.03648686408996582,1287,10000,0.5,0.75
9,0.75,126,3,0.08246922492980957,19597,10000,0.5,0.75
10,0.125,123,4,0.022174835205078125,315,10000,0.5,0.75
10,0.25,94,3,0.026639938354492188,1437,10000,0.5,0.75
10,0.5,69,3,0.07412099838256836,10302,10000,0.5,0.75
10,0.75,181,3,0.09267330169677734,23157,10000,0.5,0.75
11,0.125,172,4,0.022729873657226562,618,10000,0.5,0.75
11,0.25,310,4,0.037749290466308594,4623,10000,0.5,0.75
11,0.5,219,4,0.0868380069732666,23932,10000,0.5,0.75
11,0.75,146,5,0.11899709701538086,51305,10000,0.5,0.75
12,0.125,212,4,0.028868675231933594,2050,10000,0.5,0.75
12,0.25,180,4,0.05867576599121094,10133,10000,0.5,0.75
12,0.5,119,5,0.10588836669921875,35040,10000,0.5,0.75
12,0.75,230,5,0.1317903995513916,62000,10000,0.5,0.75
13,0.125,191,5,0.03419780731201172,3370,10000,0.5,0.75
13,0.25,80,4,0.0734701156616211,13677,10000,0.5,0.75
13,0.5,245,7,0.1385800838470459,75300,10000,0.5,0.75
13,0.75,284,7,0.14819574356079102,86416,10000,0.5,0.75
14,0.125,239,6,0.06948542594909668,18187,10000,0.5,0.75
14,0.25,216,9,0.0956573486328125,33836,10000,0.5,0.75
14,0.5,182,5,0.1548309326171875,98452,10000,0.5,0.75
14,0.75,208,7,0.17493057250976562,120590,10000,0.5,0.75
15,0.125,74,5,0.06500577926635742,13444,10000,0.5,0.75
15,0.25,232,6,0.10797357559204102,45871,10000,0.5,0.75
15,0.5,321,7,0.1402580738067627,72903,10000,0.5,0.75
15,0.75,243,7,0.14796710014343262,79626,10000,0.5,0.75
16,0.125,239,6,0.07778048515319824,20834,10000,0.5,0.75
16,0.25,203,6,0.0926828384399414,23821,10000,0.5,0.75
16,0.5,301,8,0.14812207221984863,81700,10000,0.5,0.75
16,0.75,353,11,0.1809680461883545,130500,10000,0.5,0.75
17,0.125,251,7,0.08261847496032715,24554,10000,0.5,0.75
17,0.25,213,8,0.11937403678894043,53872,10000,0.5,0.75
17,0.5,241,9,0.16335034370422363,102876,10000,0.5,0.75
17,0.75,447,9,0.19246959686279297,149939,10000,0.5,0.75
18,0.125,268,6,0.08201408386230469,22712,10000,0.5,0.75
18,0.25,431,7,0.11097860336303711,38581,10000,0.5,0.75
18,0.5,425,10,0.13969945907592773,66414,10000,0.5,0.75
18,0.75,482,11,0.18910527229309082,140885,10000,0.5,0.75
19,0.125,194,8,0.1019599437713623,42798,10000,0.5,0.75
19,0.25,400,11,0.1306285858154297,61027,10000,0.5,0.75
19,0.5,420,12,0.17633748054504395,112371,10000,0.5,0.75
19,0.75,520,14,0.2276923656463623,187378,10000,0.5,0.75
20,0.125,392,8,0.10805439949035645,49582,10000,0.5,0.75
20,0.25,273,10,0.1595592498779297,97337,10000,0.5,0.75
20,0.5,387,11,0.16310906410217285,100512,10000,0.5,0.75
20,0.75,537,17,0.2127833366394043,176382,10000,0.5,0.75
21,0.125,347,11,0.0992584228515625,37147,10000,0.5,0.75
21,0.25,474,11,0.13533926010131836,66158,10000,0.5,0.75
21,0.5,484,12,0.19981598854064941,149234,10000,0.5,0.75
21,0.75,539,15,0.21722030639648438,178781,10000,0.5,0.75
22,0.125,215,8,0.09702563285827637,30966,10000,0.5,0.75
22,0.25,378,12,0.1419060230255127,73019,10000,0.5,0.75
22,0.5,424,11,0.1728208065032959,109837,10000,0.5,0.75
22,0.75,438,14,0.2191014289855957,170028,10000,0.5,0.75
23,0.125,361,12,0.12267947196960449,57461,10000,0.5,0.75
23,0.25,538,14,0.17792844772338867,112992,10000,0.5,0.75
23,0.5,588,14,0.1996297836303711,138315,10000,0.5,0.75
23,0.75,556,17,0.2290947437286377,176343,10000,0.5,0.75
24,0.125,328,10,0.1110541820526123,41337,10000,0.5,0.75
24,0.25,481,13,0.1569201946258545,86415,10000,0.5,0.75
24,0.5,828,16,0.185211181640625,119295,10000,0.5,0.75
24,0.75,782,21,0.34415459632873535,298036,10000,0.5,0.75
25,0.125,557,11,0.1401050090789795,72796,10000,0.5,0.75
25,0.25,671,15,0.21015429496765137,150638,10000,0.5,0.75
25,0.5,776,16,0.18297743797302246,117908,10000,0.5,0.75
25,0.75,770,18,0.2872741222381592,243555,10000,0.5,0.75
26,0.125,501,12,0.14146208763122559,73796,10000,0.5,0.75
26,0.25,587,12,0.16522812843322754,104753,10000,0.5,0.75
26,0.5,706,18,0.19959378242492676,130825,10000,0.5,0.75
26,0.75,838,19,0.21819448471069336,170222,10000,0.5,0.75
27,0.125,474,16,0.17080020904541016,103345,10000,0.5,0.75
27,0.25,403,12,0.1819455623626709,109098,10000,0.5,0.75
27,0.5,789,19,0.27921175956726074,226520,10000,0.5,0.75
27,0.75,734,22,0.2875702381134033,224131,10000,0.5,0.75
28,0.125,484,14,0.1449110507965088,73368,10000,0.5,0.75
28,0.25,713,15,0.21213626861572266,152152,10000,0.5,0.75
28,0.5,901,20,0.349733829498291,291155,10000,0.5,0.75
28,0.75,904,24,0.26667332649230957,203741,10000,0.5,0.75
29,0.125,872,13,0.15891218185424805,87589,10000,0.5,0.75
29,0.25,916,19,0.2253122329711914,152187,10000,0.5,0.75
29,0.5,797,22,0.2561018466949463,187335,10000,0.5,0.75
29,0.75,1002,21,0.3772470951080322,293334,10000,0.5,0.75
30,0.125,559,16,0.1632094383239746,91881,10000,0.5,0.75
30,0.25,728,15,0.20954442024230957,136087,10000,0.5,0.75
30,0.5,1108,22,0.2898533344268799,217945,10000,0.5,0.75
30,0.75,963,26,0.36219024658203125,308700,10000,0.5,0.75
4,0.125,66,1,0.015278816223144531,2,10000,0.25,0.5
4,0.25,52,2,0.017749786376953125,4,10000,0.25,0.5
4,0.5,168,2,0.01801753044128418,15,10000,0.25,0.5
4,0.75,90,2,0.019270658493041992,70,10000,0.25,0.5
5,0.125,150,2,0.01895451545715332,4,10000,0.25,0.5
5,0.25,168,2,0.01844000816345215,14,10000,0.25,0.5
5,0.5,50,2,0.019469022750854492,67,10000,0.25,0.5
5,0.75,15,2,0.02102518081665039,252,10000,0.25,0.5
