vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.016802310943603516,45002,10000,0.5,0.75
4,0.25,52,2,0.019006729125976562,45004,10000,0.5,0.75
4,0.5,168,2,0.018570899963378906,42519,10000,0.5,0.75
4,0.75,90,2,0.02009725570678711,42582,10000,0.5,0.75
5,0.125,150,2,0.019338607788085938,45004,10000,0.5,0.75
5,0.25,168,2,0.018999576568603516,42516,10000,0.5,0.75
5,0.5,50,2,0.020317792892456055,42574,10000,0.5,0.75
5,0.75,15,2,0.02094745635986328,42757,10000,0.5,0.75
6,0.125,78,2,0.01965188980102539,45004,10000,0.5,0.75
6,0.25,74,2,0.020386219024658203,42525,10000,0.5,0.75
6,0.5,41,2,0.021801471710205078,42695,10000,0.5,0.75
6,0.75,46,2,0.026463031768798828,43093,10000,0.5,0.75
7,0.125,129,3,0.02128744125366211,45011,10000,0.5,0.75
7,0.25,69,2,0.021047115325927734,42578,10000,0.5,0.75
7,0.5,163,3,0.027449369430541992,43104,10000,0.5,0.75
7,0.75,55,3,0.03334355354309082,43593,10000,0.5,0.75
8,0.125,286,4,0.023215532302856445,45039,10000,0.5,0.75
8,0.25,77,2,0.02103900909423828,42597,10000,0.5,0.75
8,0.5,124,2,0.029934167861938477,43118,10000,0.5,0.75
8,0.75,56,3,0.044855594635009766,46024,10000,0.5,0.75
9,0.125,156,4,0.021245718002319336,42591,10000,0.5,0.75
9,0.25,70,3,0.038422346115112305,46284,10000,0.5,0.75
9,0.5,138,3,0.03825187683105469,43600,10000,0.5,0.75
9,0.75,126,3,0.08666515350341797,58876,10000,0.5,0.75
10,0.125,123,4,0.02288985252380371,42742,10000,0.5,0.75
10,0.25,94,3,0.028440237045288086,43638,10000,0.5,0.75
10,0.5,69,3,0.07528400421142578,51222,10000,0.5,0.75
10,0.75,181,3,0.09408140182495117,62058,10000,0.5,0.75
11,0.125,172,4,0.023448467254638672,42962,10000,0.5,0.75
11,0.25,310,4,0.038596391677856445,46208,10000,0.5,0.75
11,0.5,219,4,0.08934974670410156,62686,10000,0.5,0.75
