vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,num_edges
8,1.13,3,0.008574485778808594,8318,1300,0.125,0.25,15
250,23.796949999999992,309,16.30101752281189,3319885,127300,0.125,0.25,2546
8,1.21,3,0.003652811050415039,6051,1300,0.5,0.75,15
250,23.23045999999999,301,36.25458216667175,7966919,127300,0.5,0.75,2546
8,1.06,3,0.004495859146118164,7142,1300,0.25,0.5,15
250,23.866399999999985,308,50.59516501426697,11450227,127300,0.25,0.5,2546
