vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,num_edges
1000,91.12336000000013,1853,1282.469616651535,70381244,843300,0.125,0.25,16866
8,0.9199999999999999,3,0.004616260528564453,7797,1300,0.125,0.25,15
250,25.06668,326,17.102352142333984,4188937,127300,0.125,0.25,2546
