vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,num_edges
8,1.06,3,0.004495859146118164,7142,1300,0.25,0.5,15
250,23.866399999999985,308,50.59516501426697,11450227,127300,0.25,0.5,2546
