vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.01953601837158203,3,10000,0.5,0.75
4,0.25,52,2,0.021177053451538086,13,10000,0.5,0.75
4,0.5,87,1,0.02295207977294922,20,10000,0.5,0.75
4,0.75,69,1,0.022542715072631836,55,10000,0.5,0.75
5,0.125,150,2,0.022911787033081055,13,10000,0.5,0.75
5,0.25,168,2,0.02133321762084961,30,10000,0.5,0.75
5,0.5,25,1,0.020160913467407227,36,10000,0.5,0.75
5,0.75,61,2,0.019809961318969727,72,10000,0.5,0.75
6,0.125,78,2,0.023367881774902344,13,10000,0.5,0.75
6,0.25,74,2,0.02098560333251953,31,10000,0.5,0.75
6,0.5,178,2,0.019693851470947266,45,10000,0.5,0.75
6,0.75,225,5,0.019744157791137695,146,10000,0.5,0.75
7,0.125,129,3,0.022631406784057617,34,10000,0.5,0.75
7,0.25,200,3,0.019488811492919922,39,10000,0.5,0.75
7,0.5,225,3,0.02043318748474121,123,10000,0.5,0.75
7,0.75,115,3,0.02010655403137207,135,10000,0.5,0.75
8,0.125,286,4,0.024384260177612305,79,10000,0.5,0.75
8,0.25,193,4,0.020061731338500977,80,10000,0.5,0.75
8,0.5,174,4,0.021323680877685547,140,10000,0.5,0.75
8,0.75,309,7,0.02003931999206543,282,10000,0.5,0.75
9,0.125,156,4,0.020265817642211914,106,10000,0.5,0.75
9,0.25,185,4,0.020002365112304688,74,10000,0.5,0.75
9,0.5,155,3,0.02055525779724121,154,10000,0.5,0.75
9,0.75,438,9,0.020017623901367188,302,10000,0.5,0.75
10,0.125,156,5,0.019442319869995117,65,10000,0.5,0.75
10,0.25,283,5,0.020238876342773438,107,10000,0.5,0.75
10,0.5,264,4,0.020154476165771484,328,10000,0.5,0.75
10,0.75,455,8,0.020490407943725586,475,10000,0.5,0.75
11,0.125,193,5,0.021107912063598633,193,10000,0.5,0.75
11,0.25,426,6,0.019716739654541016,264,10000,0.5,0.75
11,0.5,448,7,0.020224571228027344,637,10000,0.5,0.75
11,0.75,496,9,0.0202939510345459,422,10000,0.5,0.75
12,0.125,361,8,0.020658254623413086,193,10000,0.5,0.75
12,0.25,553,11,0.020183324813842773,368,10000,0.5,0.75
12,0.5,497,11,0.020496606826782227,397,10000,0.5,0.75
12,0.75,405,7,0.020533084869384766,571,10000,0.5,0.75
13,0.125,448,8,0.019680023193359375,154,10000,0.5,0.75
13,0.25,295,6,0.020536422729492188,214,10000,0.5,0.75
13,0.5,501,9,0.020318269729614258,334,10000,0.5,0.75
13,0.75,572,12,0.020992040634155273,1459,10000,0.5,0.75
14,0.125,351,8,0.02006077766418457,138,10000,0.5,0.75
14,0.25,643,14,0.020703792572021484,367,10000,0.5,0.75
14,0.5,727,12,0.021225452423095703,605,10000,0.5,0.75
14,0.75,376,10,0.02077651023864746,828,10000,0.5,0.75
15,0.125,396,9,0.019704818725585938,166,10000,0.5,0.75
15,0.25,379,7,0.02106642723083496,487,10000,0.5,0.75
15,0.5,614,12,0.02030014991760254,702,10000,0.5,0.75
15,0.75,733,14,0.02072620391845703,1290,10000,0.5,0.75
16,0.125,550,11,0.01976633071899414,226,10000,0.5,0.75
16,0.25,574,12,0.019811153411865234,341,10000,0.5,0.75
16,0.5,417,9,0.020029544830322266,750,10000,0.5,0.75
16,0.75,677,16,0.020601272583007812,1419,10000,0.5,0.75
17,0.125,504,11,0.020211219787597656,257,10000,0.5,0.75
17,0.25,464,10,0.020490646362304688,358,10000,0.5,0.75
17,0.5,599,14,0.021306991577148438,961,10000,0.5,0.75
17,0.75,564,10,0.021491527557373047,2160,10000,0.5,0.75
18,0.125,546,9,0.02031421661376953,249,10000,0.5,0.75
18,0.25,648,15,0.020431995391845703,689,10000,0.5,0.75
18,0.5,601,13,0.02097177505493164,1008,10000,0.5,0.75
18,0.75,728,14,0.024830341339111328,1835,10000,0.5,0.75
19,0.125,576,15,0.02015972137451172,511,10000,0.5,0.75
19,0.25,629,12,0.023051023483276367,793,10000,0.5,0.75
19,0.5,928,16,0.023427963256835938,925,10000,0.5,0.75
19,0.75,899,18,0.021387577056884766,2461,10000,0.5,0.75
20,0.125,606,11,0.01967763900756836,369,10000,0.5,0.75
20,0.25,469,14,0.02005791664123535,578,10000,0.5,0.75
20,0.5,1128,22,0.02137303352355957,1614,10000,0.5,0.75
20,0.75,558,15,0.022364139556884766,3613,10000,0.5,0.75
21,0.125,604,14,0.01998162269592285,365,10000,0.5,0.75
21,0.25,892,16,0.020918607711791992,598,10000,0.5,0.75
21,0.5,937,18,0.02123284339904785,1469,10000,0.5,0.75
21,0.75,855,19,0.022925376892089844,4556,10000,0.5,0.75
22,0.125,710,14,0.020101308822631836,550,10000,0.5,0.75
22,0.25,853,19,0.02027153968811035,1077,10000,0.5,0.75
22,0.5,774,18,0.021338939666748047,1774,10000,0.5,0.75
22,0.75,1007,20,0.022334575653076172,3909,10000,0.5,0.75
23,0.125,692,17,0.02066659927368164,851,10000,0.5,0.75
23,0.25,1279,21,0.02087879180908203,1138,10000,0.5,0.75
23,0.5,1206,22,0.020780086517333984,1846,10000,0.5,0.75
23,0.75,795,19,0.02312922477722168,4421,10000,0.5,0.75
24,0.125,868,17,0.020451784133911133,679,10000,0.5,0.75
24,0.25,820,16,0.02063584327697754,701,10000,0.5,0.75
24,0.5,1244,23,0.02205681800842285,2561,10000,0.5,0.75
24,0.75,908,19,0.023212909698486328,4519,10000,0.5,0.75
25,0.125,988,17,0.020720243453979492,587,10000,0.5,0.75
25,0.25,1015,20,0.021221160888671875,1355,10000,0.5,0.75
25,0.5,934,18,0.02154994010925293,2190,10000,0.5,0.75
25,0.75,1230,24,0.023567676544189453,6212,10000,0.5,0.75
26,0.125,941,18,0.021043062210083008,961,10000,0.5,0.75
26,0.25,981,21,0.02152872085571289,1950,10000,0.5,0.75
26,0.5,1376,26,0.0223233699798584,3085,10000,0.5,0.75
26,0.75,1296,28,0.02566671371459961,7869,10000,0.5,0.75
27,0.125,775,17,0.020882606506347656,1390,10000,0.5,0.75
27,0.25,1328,28,0.02123093605041504,2155,10000,0.5,0.75
27,0.5,1231,23,0.022902965545654297,3790,10000,0.5,0.75
27,0.75,1267,21,0.02692389488220215,8187,10000,0.5,0.75
28,0.125,978,21,0.020468711853027344,1007,10000,0.5,0.75
28,0.25,1189,21,0.021847963333129883,2112,10000,0.5,0.75
28,0.5,1215,23,0.022787094116210938,4051,10000,0.5,0.75
28,0.75,1244,31,0.025686264038085938,6815,10000,0.5,0.75
29,0.125,1289,21,0.020099878311157227,1104,10000,0.5,0.75
29,0.25,1523,31,0.020878314971923828,1840,10000,0.5,0.75
29,0.5,1388,30,0.022483110427856445,3681,10000,0.5,0.75
29,0.75,1356,28,0.02676868438720703,7313,10000,0.5,0.75
30,0.125,1313,28,0.02034735679626465,1219,10000,0.5,0.75
30,0.25,922,25,0.021275043487548828,2385,10000,0.5,0.75
30,0.5,1291,27,0.02440667152404785,4476,10000,0.5,0.75
30,0.75,1424,32,0.026039600372314453,7722,10000,0.5,0.75
