vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.010864496231079102,3,10000,0.125,0.25
4,0.25,52,2,0.018546104431152344,6,10000,0.125,0.25
4,0.5,168,2,0.018895387649536133,21,10000,0.125,0.25
4,0.75,90,2,0.02006673812866211,90,10000,0.125,0.25
5,0.125,150,2,0.018832921981811523,6,10000,0.125,0.25
5,0.25,168,2,0.018299579620361328,18,10000,0.125,0.25
5,0.5,50,2,0.01890277862548828,83,10000,0.125,0.25
5,0.75,15,2,0.018653392791748047,282,10000,0.125,0.25
6,0.125,78,2,0.019190073013305664,6,10000,0.125,0.25
6,0.25,74,2,0.018584251403808594,31,10000,0.125,0.25
6,0.5,41,2,0.018204927444458008,221,10000,0.125,0.25
6,0.75,46,2,0.01877427101135254,657,10000,0.125,0.25
7,0.125,129,3,0.01764512062072754,15,10000,0.125,0.25
7,0.25,69,2,0.017748117446899414,93,10000,0.125,0.25
7,0.5,738,11,0.01809239387512207,436,10000,0.125,0.25
7,0.75,24,3,0.024289608001708984,7639,10000,0.125,0.25
8,0.125,286,4,0.017644643783569336,28,10000,0.125,0.25
8,0.25,77,2,0.01764845848083496,118,10000,0.125,0.25
8,0.5,124,2,0.017864465713500977,709,10000,0.125,0.25
8,0.75,64,4,0.06299805641174316,88205,10000,0.125,0.25
9,0.125,201,5,0.018283605575561523,45,10000,0.125,0.25
9,0.25,423,9,0.018342018127441406,180,10000,0.125,0.25
9,0.5,92,3,0.025752782821655273,8710,10000,0.125,0.25
9,0.75,48,5,0.12121701240539551,207133,10000,0.125,0.25
10,0.125,255,6,0.01790332794189453,69,10000,0.125,0.25
10,0.25,607,12,0.01798534393310547,380,10000,0.125,0.25
10,0.5,64,4,0.06606793403625488,96441,10000,0.125,0.25
10,0.75,127,6,0.1573045253753662,281579,10000,0.125,0.25
11,0.125,269,7,0.01781940460205078,116,10000,0.125,0.25
11,0.25,915,14,0.01794743537902832,622,10000,0.125,0.25
11,0.5,72,5,0.16867280006408691,197162,10000,0.125,0.25
11,0.75,205,8,0.21986603736877441,403383,10000,0.125,0.25
12,0.125,413,9,0.01851940155029297,167,10000,0.125,0.25
12,0.25,882,17,0.024228572845458984,6558,10000,0.125,0.25
12,0.5,97,6,0.11951351165771484,189731,10000,0.125,0.25
12,0.75,374,10,0.30724525451660156,529999,10000,0.125,0.25
13,0.125,534,10,0.01755976676940918,216,10000,0.125,0.25
13,0.25,64,4,0.040395498275756836,37438,10000,0.125,0.25
13,0.5,185,7,0.14394807815551758,243582,10000,0.125,0.25
13,0.75,239,11,0.3433048725128174,612820,10000,0.125,0.25
14,0.125,595,12,0.017658710479736328,316,10000,0.125,0.25
14,0.25,1041,23,0.044553518295288086,56788,10000,0.125,0.25
14,0.5,160,9,0.21855568885803223,375223,10000,0.125,0.25
14,0.75,270,13,0.40352487564086914,708615,10000,0.125,0.25
15,0.125,547,14,0.017345428466796875,568,10000,0.125,0.25
15,0.25,195,5,0.07843899726867676,128246,10000,0.125,0.25
15,0.5,236,10,0.2487926483154297,427471,10000,0.125,0.25
15,0.75,501,15,0.5100405216217041,876411,10000,0.125,0.25
16,0.125,672,15,0.02088618278503418,2563,10000,0.125,0.25
16,0.25,191,6,0.07128286361694336,111951,10000,0.125,0.25
16,0.5,308,12,0.2832763195037842,476128,10000,0.125,0.25
16,0.75,484,11,0.6343984603881836,1086283,10000,0.125,0.25
17,0.125,716,17,0.022198200225830078,4942,10000,0.125,0.25
17,0.25,201,6,0.07644176483154297,120457,10000,0.125,0.25
17,0.5,281,13,0.3557436466217041,583238,10000,0.125,0.25
17,0.75,605,20,0.7490177154541016,1237245,10000,0.125,0.25
18,0.125,1087,20,0.03397393226623535,30333,10000,0.125,0.25
18,0.25,339,7,0.10065507888793945,160602,10000,0.125,0.25
18,0.5,348,15,0.40793347358703613,646651,10000,0.125,0.25
18,0.75,747,18,0.9075782299041748,1454593,10000,0.125,0.25
19,0.125,838,22,0.04011416435241699,44877,10000,0.125,0.25
19,0.25,316,8,0.11973857879638672,190776,10000,0.125,0.25
