vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
24,0.75,868,18,1.9590437412261963,2778370,10000,0.25,0.5
25,0.125,2134,38,0.08886361122131348,139633,10000,0.25,0.5
25,0.25,505,15,0.2857675552368164,423965,10000,0.25,0.5
25,0.5,1053,19,1.2026946544647217,1673120,10000,0.25,0.5
25,0.75,854,24,2.2090141773223877,3042432,10000,0.25,0.5
26,0.125,2198,41,0.09328269958496094,147503,10000,0.25,0.5
26,0.25,466,16,0.31389522552490234,458134,10000,0.25,0.5
26,0.5,957,23,1.3125207424163818,1772352,10000,0.25,0.5
26,0.75,1175,28,2.4025089740753174,3269809,10000,0.25,0.5
27,0.125,2150,44,0.07605195045471191,121381,10000,0.25,0.5
27,0.25,598,17,0.3249633312225342,431778,10000,0.25,0.5
27,0.5,1179,35,1.652458906173706,2024767,10000,0.25,0.5
27,0.75,1320,29,2.921159267425537,3559752,10000,0.25,0.5
28,0.125,2025,48,0.08955073356628418,143837,10000,0.25,0.5
28,0.25,680,19,0.4044520854949951,553693,10000,0.25,0.5
28,0.5,1145,23,1.7005128860473633,2182156,10000,0.25,0.5
28,0.75,1047,26,3.0089995861053467,3852420,10000,0.25,0.5
29,0.125,3203,51,0.11489391326904297,175310,10000,0.25,0.5
29,0.25,860,20,0.409163236618042,549674,10000,0.25,0.5
29,0.5,751,22,1.9754059314727783,2407678,10000,0.25,0.5
29,0.75,1404,35,3.318828582763672,4147641,10000,0.25,0.5
30,0.125,2622,55,0.12139177322387695,191481,10000,0.25,0.5
30,0.25,654,21,0.4163994789123535,559524,10000,0.25,0.5
30,0.5,1398,29,2.1190431118011475,2637743,10000,0.25,0.5
30,0.75,1487,30,3.668675422668457,4449862,10000,0.25,0.5
