vertices_num,percentage_max_num_edges,randomized_total_weight,randomized_heuristic_total_weight,weight_difference,randomized_execution_time,randomized_heuristic_execution_time,time_ratio,randomized_num_operations,randomized_heuristic_num_operations,randomized_configurations,randomized_heuristic_configurations
4,0.125,66,66,0,0.0017926692962646484,0.020019054412841797,11.167176486234872,4,3,1000,10000
4,0.25,52,52,0,0.002131223678588867,0.032752275466918945,15.367826378789573,14,13,1000,10000
4,0.5,87,87,0,0.0030040740966796875,0.023972511291503906,7.98,44,20,1000,10000
4,0.75,69,69,0,0.0027756690979003906,0.02464127540588379,8.877598350798833,311,37,1000,10000
5,0.125,150,150,0,0.0019826889038085938,0.021519184112548828,10.853535353535353,14,13,1000,10000
5,0.25,168,168,0,0.0021429061889648438,0.019558429718017578,9.127058299955497,39,17,1000,10000
5,0.5,25,25,0,0.0030410289764404297,0.021526575088500977,7.078714229713838,301,43,1000,10000
5,0.75,15,71,-56,0.004752635955810547,0.02024102210998535,4.258904384468747,3639,69,1000,10000
6,0.125,78,78,0,0.0019969940185546875,0.022086381912231445,11.059813753581661,14,13,1000,10000
6,0.25,53,74,-21,0.002349376678466797,0.01992487907409668,8.480921453216968,94,37,1000,10000
6,0.5,41,106,-65,0.005017280578613281,0.02015233039855957,4.016584299562821,3404,43,1000,10000
6,0.75,46,305,-259,0.01113748550415039,0.020314693450927734,1.8239928072954574,15006,172,1000,10000
7,0.125,129,129,0,0.0021522045135498047,0.022783279418945312,10.586019718621912,35,34,1000,10000
7,0.25,69,113,-44,0.003189563751220703,0.019927501678466797,6.247720137539243,626,35,1000,10000
7,0.5,155,229,-74,0.008342981338500977,0.020093917846679688,2.4084816963392677,12029,154,1000,10000
7,0.75,26,84,-58,0.01394200325012207,0.02037668228149414,1.4615318843305916,24253,165,1000,10000
8,0.125,286,286,0,0.0030364990234375,0.029634714126586914,9.759500628140703,80,79,1000,10000
8,0.25,77,180,-103,0.00397181510925293,0.020380496978759766,5.13128038897893,1384,64,1000,10000
8,0.5,93,157,-64,0.012021303176879883,0.020749568939208984,1.7260665199024217,18703,134,1000,10000
8,0.75,162,415,-253,0.017735004425048828,0.020565509796142578,1.1595999247170166,33860,194,1000,10000
9,0.125,151,151,0,0.0030362606048583984,0.02076268196105957,6.838241067923047,190,40,1000,10000
9,0.25,70,354,-284,0.0055675506591796875,0.020967960357666016,3.7661014045906134,4101,111,1000,10000
9,0.5,117,323,-206,0.015261173248291016,0.020766019821166992,1.3607092641774723,27692,175,1000,10000
9,0.75,118,123,-5,0.022435903549194336,0.02053523063659668,0.9152843161216965,46001,280,1000,10000
10,0.125,123,156,-33,0.002904653549194336,0.02013993263244629,6.933678076007552,443,55,1000,10000
10,0.25,122,367,-245,0.009300708770751953,0.020236730575561523,2.175826711099718,12786,185,1000,10000
10,0.5,83,376,-293,0.01903820037841797,0.02037978172302246,1.0704678655512698,37434,188,1000,10000
10,0.75,209,484,-275,0.028449058532714844,0.021039724349975586,0.7395578425128222,59637,380,1000,10000
11,0.125,172,248,-76,0.0034568309783935547,0.02095508575439453,6.061935305883164,1105,158,1000,10000
11,0.25,261,365,-104,0.011433601379394531,0.020809173583984375,1.8200016681958462,17476,223,1000,10000
11,0.5,192,450,-258,0.024349451065063477,0.020763874053955078,0.8527450577211174,47380,225,1000,10000
11,0.75,237,517,-280,0.03523373603820801,0.021010875701904297,0.5963283507352095,73507,474,1000,10000
12,0.125,205,335,-130,0.005250453948974609,0.022214412689208984,4.230950867314504,3771,203,1000,10000
12,0.25,204,504,-300,0.014446020126342773,0.021349191665649414,1.4778597481474147,23454,296,1000,10000
12,0.5,163,631,-468,0.028946638107299805,0.02202582359313965,0.7609112848094489,57111,272,1000,10000
12,0.75,362,474,-112,0.04536318778991699,0.021099567413330078,0.4651253238869589,87287,609,1000,10000
13,0.125,197,366,-169,0.006056547164916992,0.020803213119506836,3.4348305318269494,5648,145,1000,10000
13,0.25,149,356,-207,0.016228199005126953,0.021202564239501953,1.3065260188640437,27472,158,1000,10000
13,0.5,226,426,-200,0.03258180618286133,0.021004676818847656,0.6446750281725182,65010,419,1000,10000
13,0.75,410,546,-136,0.049455881118774414,0.02052474021911621,0.41501111202171304,106653,692,1000,10000
14,0.125,251,399,-148,0.007993936538696289,0.020069360733032227,2.510572936860628,9293,88,1000,10000
14,0.25,212,342,-130,0.018012046813964844,0.02048206329345703,1.137131360194843,31343,233,1000,10000
14,0.5,243,357,-114,0.039037466049194336,0.021419525146484375,0.5486914831892998,80325,970,1000,10000
14,0.75,277,654,-377,0.057739973068237305,0.02140355110168457,0.3706886228781191,123896,791,1000,10000
15,0.125,97,240,-143,0.010808229446411133,0.02276778221130371,2.106522842079721,15079,179,1000,10000
15,0.25,237,457,-220,0.02487039566040039,0.021038293838500977,0.8459171348045325,42812,271,1000,10000
15,0.5,299,505,-206,0.04651665687561035,0.021241426467895508,0.456641295712565,93477,605,1000,10000
15,0.75,360,405,-45,0.07164597511291504,0.021764278411865234,0.3037753115588759,145973,789,1000,10000
16,0.125,257,415,-158,0.010185003280639648,0.020841121673583984,2.046255764413961,13578,200,1000,10000
16,0.25,336,598,-262,0.024257898330688477,0.020720243453979492,0.8541648238242665,43286,412,1000,10000
16,0.5,450,470,-20,0.051535606384277344,0.019980907440185547,0.3877107274375914,104563,481,1000,10000
16,0.75,417,1037,-620,0.08059906959533691,0.020585298538208008,0.25540367452826,167482,1242,1000,10000
17,0.125,265,629,-364,0.012460470199584961,0.020421266555786133,1.6388841053900465,18282,294,1000,10000
17,0.25,448,681,-233,0.027957677841186523,0.021729230880737305,0.777218730545867,50438,519,1000,10000
17,0.5,432,446,-14,0.06460952758789062,0.021367311477661133,0.33071455983940484,123521,1065,1000,10000
17,0.75,552,697,-145,0.09633612632751465,0.02159714698791504,0.22418533743500393,188580,1439,1000,10000
18,0.125,345,386,-41,0.016548633575439453,0.02153325080871582,1.3012102002593287,24915,304,1000,10000
18,0.25,329,768,-439,0.033262014389038086,0.021347761154174805,0.6418060224641785,60340,688,1000,10000
18,0.5,479,569,-90,0.14476943016052246,0.019823312759399414,0.13693023960527465,134103,846,1000,10000
18,0.75,687,886,-199,0.10841774940490723,0.020395755767822266,0.18812192542062775,216788,2280,1000,10000
19,0.125,278,634,-356,0.016448974609375,0.019654273986816406,1.194863172541744,27412,342,1000,10000
19,0.25,459,767,-308,0.03505897521972656,0.020083904266357422,0.5728605625374028,67569,713,1000,10000
