vertices_num,percentage_max_num_edges,randomized_total_weight,randomized_heuristic_total_weight,weight_difference,randomized_execution_time,randomized_heuristic_execution_time,time_ratio,randomized_num_operations,randomized_heuristic_num_operations,randomized_configurations,randomized_heuristic_configurations
27,0.125,603,947,-344,0.03600883483886719,0.019767045974731445,0.5489498914137402,60956,878,1000,10000
27,0.25,828,1106,-278,0.08691167831420898,0.019990921020507812,0.23001420992280555,149618,1143,1000,10000
27,0.5,1148,1631,-483,0.18784308433532715,0.021195173263549805,0.1128344614791,330280,2910,1000,10000
27,0.75,1310,1279,31,0.2862279415130615,0.026090145111083984,0.09115163590656437,489966,8049,1000,10000
28,0.125,579,818,-239,0.039830923080444336,0.019908428192138672,0.49982341990746004,68094,933,1000,10000
28,0.25,952,793,159,0.09606146812438965,0.02014470100402832,0.2097063619509023,167217,1243,1000,10000
28,0.5,1242,1600,-358,0.2020702362060547,0.021615266799926758,0.10696907771159964,346394,3554,1000,10000
28,0.75,1214,1122,92,0.320556640625,0.025708436965942383,0.08019935857768469,533803,7994,1000,10000
29,0.125,1031,1821,-790,0.04492759704589844,0.01967334747314453,0.43789004457652303,72643,873,1000,10000
29,0.25,964,1658,-694,0.10379981994628906,0.02035689353942871,0.1961168482754819,172245,1574,1000,10000
29,0.5,1317,1219,98,0.2252485752105713,0.022003650665283203,0.09768608145340461,376835,3615,1000,10000
29,0.75,1535,1147,388,0.3430321216583252,0.02393174171447754,0.06976530827137695,569184,4742,1000,10000
30,0.125,735,1400,-665,0.05048322677612305,0.020318031311035156,0.40247093160544434,82811,1106,1000,10000
30,0.25,822,1154,-332,0.11084985733032227,0.020943641662597656,0.18893701955959719,184401,2198,1000,10000
30,0.5,1322,1500,-178,0.2492084503173828,0.021660804748535156,0.08691841998515196,404111,3797,1000,10000
30,0.75,1306,1240,66,0.38394808769226074,0.02551865577697754,0.06646381788319015,621272,7879,1000,10000
