vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,num_edges
8,2.81,6,0.004877328872680664,1441,1300,0.125,0.25,15
250,29.172539999999994,375,0.7422804832458496,180727,127300,0.125,0.25,2546
8,2.19,5,0.002741098403930664,1462,1300,0.5,0.75,15
250,33.400250000000035,431,0.5552561283111572,192148,127300,0.5,0.75,2546
8,1.06,3,0.0027878284454345703,1443,1300,0.25,0.5,15
250,28.952649999999995,356,0.5097754001617432,171327,127300,0.25,0.5,2546
