vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,num_edges
8,1.06,3,0.0027878284454345703,1443,1300,0.25,0.5,15
250,28.952649999999995,356,0.5097754001617432,171327,127300,0.25,0.5,2546
