vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,num_edges
8,3.25,7,0.002898693084716797,1471,1300,0.5,0.75,15
250,29.25811000000002,378,0.48653626441955566,173445,127300,0.5,0.75,2546
