vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.0001914501190185547,477,100,0.25,0.5,0.125
4,52,2,0.0003871917724609375,954,200,0.25,0.5,0.25
4,168,2,0.0005824565887451172,1368,300,0.25,0.5,0.5
4,90,2,0.0011146068572998047,2334,500,0.25,0.5,0.75
5,150,2,0.00038361549377441406,954,200,0.25,0.5,0.125
5,168,2,0.0006413459777832031,1366,300,0.25,0.5,0.25
5,50,2,0.001039743423461914,2326,500,0.25,0.5,0.5
5,15,2,0.0018839836120605469,3857,800,0.25,0.5,0.75
6,78,2,0.00042557716369628906,954,200,0.25,0.5,0.125
6,74,2,0.0008454322814941406,1825,400,0.25,0.5,0.25
6,41,2,0.0018420219421386719,3795,800,0.25,0.5,0.5
6,46,2,0.003328561782836914,5993,1200,0.25,0.5,0.75
7,129,3,0.0007002353668212891,1436,300,0.25,0.5,0.125
7,69,2,0.0012357234954833984,2779,600,0.25,0.5,0.25
7,246,3,0.0030956268310546875,5432,1100,0.25,0.5,0.5
7,120,3,0.0056154727935791016,8081,1600,0.25,0.5,0.75
8,286,4,0.0010178089141845703,1939,400,0.25,0.5,0.125
8,77,2,0.0014836788177490234,3247,700,0.25,0.5,0.25
8,124,2,0.0042285919189453125,6918,1400,0.25,0.5,0.5
8,64,4,0.023988723754882812,18664,2100,0.25,0.5,0.75
9,151,4,0.001157522201538086,2349,500,0.25,0.5,0.125
9,86,3,0.0023288726806640625,4360,900,0.25,0.5,0.25
9,151,3,0.007364988327026367,9451,1800,0.25,0.5,0.5
9,45,4,0.03540921211242676,24896,2700,0.25,0.5,0.75
10,123,4,0.0014996528625488281,2922,600,0.25,0.5,0.125
10,88,4,0.004193544387817383,6578,1200,0.25,0.5,0.25
10,118,4,0.03243398666381836,24867,2300,0.25,0.5,0.5
10,116,3,0.03467893600463867,23418,3400,0.25,0.5,0.75
11,172,4,0.0018796920776367188,3624,700,0.25,0.5,0.125
11,292,4,0.005950450897216797,8402,1400,0.25,0.5,0.25
11,175,5,0.03291749954223633,22898,2800,0.25,0.5,0.5
11,236,5,0.058797359466552734,37471,4200,0.25,0.5,0.75
12,236,5,0.0028045177459716797,4748,900,0.25,0.5,0.125
12,202,4,0.009061336517333984,10781,1700,0.25,0.5,0.25
12,187,7,0.040816307067871094,32115,3300,0.25,0.5,0.5
12,207,6,0.09293150901794434,80798,5000,0.25,0.5,0.75
13,276,6,0.005493640899658203,5492,1000,0.25,0.5,0.125
13,116,5,0.022148847579956055,17116,2000,0.25,0.5,0.25
13,238,6,0.049250125885009766,34565,3900,0.25,0.5,0.5
13,319,6,0.09147477149963379,69792,5900,0.25,0.5,0.75
14,184,6,0.007585763931274414,7149,1200,0.25,0.5,0.125
14,261,6,0.023659229278564453,15911,2300,0.25,0.5,0.25
14,149,10,0.06883955001831055,54069,4600,0.25,0.5,0.5
14,243,8,0.10558009147644043,70685,6900,0.25,0.5,0.75
15,99,6,0.0069963932037353516,9024,1400,0.25,0.5,0.125
15,260,6,0.030674457550048828,21227,2700,0.25,0.5,0.25
15,203,8,0.07904982566833496,57138,5300,0.25,0.5,0.5
15,295,8,0.1546316146850586,128455,7900,0.25,0.5,0.75
16,324,8,0.008033275604248047,9023,1500,0.25,0.5,0.125
16,337,8,0.03263449668884277,21994,3000,0.25,0.5,0.25
16,348,10,0.09906172752380371,67057,6000,0.25,0.5,0.5
16,354,12,0.17291975021362305,156404,9000,0.25,0.5,0.75
17,223,6,0.009543657302856445,10675,1700,0.25,0.5,0.125
17,369,11,0.042478084564208984,31141,3400,0.25,0.5,0.25
17,195,10,0.11193180084228516,89210,6800,0.25,0.5,0.5
