vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
24,787,19,0.47481274604797363,402829,20700,0.125,0.25,0.75
25,725,14,0.044249534606933594,32178,3800,0.125,0.25,0.125
25,722,17,0.11678814888000488,89157,7500,0.125,0.25,0.25
25,812,16,0.254227876663208,189604,15000,0.125,0.25,0.5
25,591,19,0.4444000720977783,372623,22500,0.125,0.25,0.75
26,576,11,0.0469050407409668,32611,4100,0.125,0.25,0.125
26,756,18,0.13237524032592773,105354,8200,0.125,0.25,0.25
26,746,21,0.28213071823120117,204753,16300,0.125,0.25,0.5
26,836,18,0.5585708618164062,496691,24400,0.125,0.25,0.75
27,667,17,0.04982328414916992,33268,4400,0.125,0.25,0.125
27,679,19,0.15214180946350098,109464,8800,0.125,0.25,0.25
27,718,21,0.3172330856323242,249785,17600,0.125,0.25,0.5
27,899,23,0.600175142288208,468433,26400,0.125,0.25,0.75
28,524,16,0.0650479793548584,45463,4800,0.125,0.25,0.125
28,781,15,0.14238381385803223,107540,9500,0.125,0.25,0.25
28,875,20,0.4110069274902344,330292,18900,0.125,0.25,0.5
28,968,26,0.6824135780334473,551008,28400,0.125,0.25,0.75
29,1006,18,0.07125568389892578,49278,5100,0.125,0.25,0.125
29,740,16,0.17305707931518555,119623,10200,0.125,0.25,0.25
29,740,15,0.36089277267456055,260196,20300,0.125,0.25,0.5
29,1077,25,0.5927772521972656,436546,30500,0.125,0.25,0.75
30,824,21,0.07182121276855469,48571,5500,0.125,0.25,0.125
30,675,22,0.18334197998046875,127585,10900,0.125,0.25,0.25
30,1028,23,0.37822437286376953,270292,21800,0.125,0.25,0.5
30,1008,24,0.7423393726348877,572216,32700,0.125,0.25,0.75
4,66,1,0.00020766258239746094,452,100,0.5,0.75,0.125
4,52,2,0.0003917217254638672,904,200,0.5,0.75,0.25
4,168,2,0.00058746337890625,1294,300,0.5,0.75,0.5
4,90,2,0.0010149478912353516,2207,500,0.5,0.75,0.75
5,150,2,0.0003917217254638672,904,200,0.5,0.75,0.125
5,168,2,0.0006172657012939453,1291,300,0.5,0.75,0.25
5,50,2,0.0010650157928466797,2200,500,0.5,0.75,0.5
5,15,2,0.0018854141235351562,3656,800,0.5,0.75,0.75
6,78,2,0.0003905296325683594,904,200,0.5,0.75,0.125
6,74,2,0.0007927417755126953,1725,400,0.5,0.75,0.25
6,41,2,0.0018315315246582031,3595,800,0.5,0.75,0.5
6,46,2,0.0033550262451171875,5694,1200,0.5,0.75,0.75
7,129,3,0.00067901611328125,1361,300,0.5,0.75,0.125
7,69,2,0.0012569427490234375,2629,600,0.5,0.75,0.25
7,210,3,0.003101825714111328,5176,1100,0.5,0.75,0.5
7,67,3,0.005718708038330078,7808,1600,0.5,0.75,0.75
8,286,4,0.0009431838989257812,1839,400,0.5,0.75,0.125
8,77,2,0.0014998912811279297,3072,700,0.5,0.75,0.25
